"","Law ID","State","Effect","Law Class","Law Class Subcategory","Definition","Type of Change","Handguns or Longguns","Effective Date","Content","Supersession Date"
"2539","WA1010","Washington","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Implement","Handgun",1935-04-23,"No person shall deliver a pistol to any person under the age of twenty-one or to one who he has reasonable cause to believe has been convicted of a crime of violence, or is a drug addict, an habitual drunkard, or of unsound mind.","1994-07-01"
"2540","WA1011","Washington","Permissive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Implement","Long Gun",1994-07-01,"No person may deliver a firearm to any person whom he or she has reasonable cause to believe is ineligible under RCW 9.41.040 to possess a firearm. Any person violating this section is guilty of a class C felony, punishable under chapter 9A.20 RCW.",NA
"2541","WA1012","Washington",NA,"Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age",NA,"Long Gun",NA,"No law imposing minimum purchase and sale age for long guns","1994-07-01"
"2542","WA1014","Washington",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Handgun",NA,"No law restricting open carry for handguns",NA
"2543","WA1015","Washington",NA,"Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring registration of handguns","2014-12-04"
"2544","WA1016","Washington","Restrictive","Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun",1969-08-11,"In addition to the other requirements of RCW sections 9.41.010 through 9.41.150 as now or hereinafter amended, no seller shall deliver a

pistol to the purchaser thereof until seventy-two hours shall have

elapsed from the time of the application for the purchase thereof as

provided herein, and, when delivered, said pistol shall be securely

wrapped and shall be unloaded.","1983-05-17"
"2545","WA1017","Washington","Restrictive","Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Modify","Handgun",1983-05-17,"(1) In addition to the other requirements of this chapter, no commercial seller shall deliver a pistol to the purchaser thereof until:



(a) The purchaser produces a valid concealed pistol license and the commercial seller has recorded the purchaser's name, license number, and issuing agency, such record to be made in triplicate and processed as provided in subsection (4) of this section; or



(b) The seller is notified in writing by the chief of police of the municipality or the sheriff of the county that the purchaser meets the requirements of RCW 9.41.040 and that the application to purchase is granted; or



(c) Five consecutive days including Saturday, Sunday and holidays have elapsed from the time of receipt of the application for the purchase thereof as provided herein by the chief of police or sheriff designated in subsection (4) of this section, and, when delivered, said pistol shall be securely wrapped and shall be unloaded. However, if the purchaser does not have a valid permanent Washington driver's license or state identification card or has not been a resident of the state for the previous consecutive ninety days, the waiting period under this subsection (1)(c) shall be up to sixty days.","2014-12-04"
"2546","WA1018","Washington","Permissive","Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Modify","Handgun",2014-12-04,"

Except as otherwise provided in this chapter, a licensed dealer may not deliver any firearm to a purchaser or transferee until the earlier of:

     (1) The results of all required background checks are known and the purchaser or transferee is not prohibited from owning or possessing a firearm under federal or state law; or



     (2) Ten business days have elapsed from the date the licensed dealer requested the background check. However, for sales and transfers of pistols if the purchaser or transferee does not have a valid permanent Washington driver's license or state identification card or has not been a resident of the state for the previous consecutive ninety days, then the time period in this subsection shall be extended from ten business days to sixty days.

",NA
"2547","WA1019","Washington",NA,"Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law imposing waiting period for purchase of long guns",NA
"2548","WA1020","Washington","Restrictive","Dealer License",NA,"Requires dealers of firearms to be licensed by the state","Implement","Handgun",1935-07-01,"Sec. 10 Dealers to be Licensed. No retail licensed. dealer shall sell or otherwise transfer, or expose for sale or transfer, or have in his possession with intent to sell, or otherwise transfer, any pistol without being licensed as hereinafter provided. Sec. 11. Dealer's Licenses, by Whom Granted and Conditions Thereof. The duly constituted licensing authorities of any city, town, or political subdivision of this state shall grant licenses in forms prescribed by the director of licenses effective for not more than one year from the date of issue permitting the licensee to sell pistols within this state subject to the following conditions in addition to those specified in section 9 hereof, for breach of any of which the license shall be forfeited and the licensee subject to punishment as provided in this act [...]",NA
"2549","WA1021","Washington",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Long Gun",NA,"No law requiring background checks for private sales of long guns","2014-12-04"
"2550","WA1022","Washington",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Handgun",NA,"No law requiring background checks for dealer sales of handguns","1969-08-11"
"2551","WA1023","Washington",NA,"Child Access Laws","Negligent Storage","Mandates safe storage of guns",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - negligent storage (CAP)","2019-07-01"
"2552","WA1024","Washington",NA,"Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring registration of long guns",NA
"2553","WA1025","Washington","Restrictive","Prohibited Possessor","Dvro","Prohibits individuals with a domestic violence restraining order from owning, possessing, or purchasing firearms","Implement","Handgun And/Or Long Gun",1994-03-11,"(1) Any court when entering an order authorized under chapter 7.92 RCW, RCW 7.90.090, 9A.46.080, 10.14.080, 10.99.040, 10.99.045, 26.09.050, 26.09.060, 26.10.040, 26.10.115, * 26.26.130, 26.50.060, 26.50.070, or * 26.26.590 shall, upon a showing by clear and convincing evidence, that a party has: Used, displayed, or threatened to use a firearm or other dangerous weapon in a felony, or previously committed any offense that makes him or her ineligible to possess a firearm under the provisions of RCW 9.41.040:

(a) Require the party to surrender any firearm or other dangerous weapon;

(b) Require the party to surrender any concealed pistol license issued under RCW 9.41.070;

(c) Prohibit the party from obtaining or possessing a firearm or other dangerous weapon;

(d) Prohibit the party from obtaining or possessing a concealed pistol license.

(2) Any court when entering an order authorized under chapter 7.92 RCW, RCW 7.90.090, 9A.46.080, 10.14.080, 10.99.040, 10.99.045, 26.09.050, 26.09.060, 26.10.040, 26.10.115, * 26.26.130, 26.50.060, 26.50.070, or * 26.26.590 may, upon a showing by a preponderance of the evidence but not by clear and convincing evidence, that a party has: Used, displayed, or threatened to use a firearm or other dangerous weapon in a felony, or previously committed any offense that makes him or her ineligible to possess a firearm under the provisions of RCW 9.41.040:

(a) Require the party to surrender any firearm or other dangerous weapon;

(b) Require the party to surrender a concealed pistol license issued under RCW 9.41.070;

(c) Prohibit the party from obtaining or possessing a firearm or other dangerous weapon;

(d) Prohibit the party from obtaining or possessing a concealed pistol license.

(3) During any period of time that the person is subject to a court order issued under chapter 7.90, 7.92, 9A.46, 10.14, 10.99, 26.09, 26.10, *26.26, or 26.50 RCW that:

(a) Was issued after a hearing of which the person received actual notice, and at which the person had an opportunity to participate;

(b) Restrains the person from harassing, stalking, or threatening an intimate partner of the person or child of the intimate partner or person, or engaging in other conduct that would place an intimate partner in reasonable fear of bodily injury to the partner or child; and

(c)(i) Includes a finding that the person represents a credible threat to the physical safety of the intimate partner or child; and

(ii) By its terms, explicitly prohibits the use, attempted use, or threatened use of physical force against the intimate partner or child that would reasonably be expected to cause bodily injury, the court shall:","2014-03-28"
"2554","WA1026","Washington","Restrictive","Prohibited Possessor","Mental Health : Committed To Mh Facility","Prohibits the possession of firearms for those who have been involuntarily committed to mental health institutions","Implement","Handgun And/Or Long Gun",1994-07-01,"At the time a person...is committed by court order under RCW 71.05.240, 71.05.320, 71.34.740, 71.34.750, or chapter 10.77 RCW for mental health treatment, the convicting or committing court shall notify the person, orally and in writing, that the person must immediately surrender any concealed pistol license and that the person may not possess a firearm ","2005-07-24"
"2555","WA1027","Washington","Restrictive","Prohibited Possessor","Mental Health : Committed To Mh Facility","Prohibits the possession of firearms for those who have been involuntarily committed to mental health institutions","Modify","Handgun And/Or Long Gun",2005-07-24," At the time a person is convicted or found not guilty by reason of insanity of an offense making the person ineligible to possess a firearm...the convicting or committing court shall notify the person, orally and in writing, that the person must immediately surrender any concealed pistol license and that the person may not possess a firearm.",NA
"2556","WA1028","Washington","Restrictive","Prohibited Possessor","Dvro : Expanded","Expands the DVRO provision to include dating partners","Modify","Handgun And/Or Long Gun",2014-03-28,"(1)(a) A person, whether an adult or juvenile, is guilty of the crime of unlawful possession of a firearm in the first degree, if the person owns, has in his or her possession, or has in his or her control any firearm after having previously been convicted or found not guilty by reason of insanity in this state or elsewhere of any serious offense as defined in this chapter.

(b) Unlawful possession of a firearm in the first degree is a class B felony punishable according to chapter 9A.20 RCW.

(2)(a) A person, whether an adult or juvenile, is guilty of the crime of unlawful possession of a firearm in the second degree, if the person does not qualify under subsection (1) of this section for the crime of unlawful possession of a firearm in the first degree and the person owns, has in his or her possession, or has in his or her control any firearm:

(i) After having previously been convicted or found not guilty by reason of insanity in this state or elsewhere of any felony not specifically listed as prohibiting firearm possession under subsection (1) of this section, or any of the following crimes when committed by one family or household member against another, committed on or after July 1, 1993: Assault in the fourth degree, coercion, stalking, reckless endangerment, criminal trespass in the first degree, or violation of the provisions of a protection order or no-contact order restraining the person or excluding the person from a residence (RCW 26.50.060, 26.50.070, 26.50.130, or 10.99.040);

(ii) After having previously been convicted or found not guilty by reason of insanity in this state or elsewhere of harassment when committed by one family or household member against another, committed on or after June 7, 2018;

(iii) During any period of time that the person is subject to a court order issued under chapter 7.90, 7.92, 9A.46, 10.14, 10.99, 26.09, 26.10, *26.26, or 26.50 RCW that:

(A) Was issued after a hearing of which the person received actual notice, and at which the person had an opportunity to participate;

(B) Restrains the person from harassing, stalking, or threatening an intimate partner of the person or child of the intimate partner or person, or engaging in other conduct that would place an intimate partner in reasonable fear of bodily injury to the partner or child; and

(C)(I) Includes a finding that the person represents a credible threat to the physical safety of the intimate partner or child; and

(II) By its terms, explicitly prohibits the use, attempted use, or threatened use of physical force against the intimate partner or child that would reasonably be expected to cause bodily injury;

(iv) After having previously been involuntarily committed for mental health treatment under RCW 71.05.240, 71.05.320, 71.34.740, 71.34.750, chapter 10.77 RCW, or equivalent statutes of another jurisdiction, unless his or her right to possess a firearm has been restored as provided in RCW 9.41.047;

(v) If the person is under eighteen years of age, except as provided in RCW 9.41.042; and/or

(vi) If the person is free on bond or personal recognizance pending trial, appeal, or sentencing for a serious offense as defined in RCW 9.41.010.

(b) (a) (iii) of this subsection does not apply to a sexual assault protection order under chapter 7.90 RCW if the order has been modified pursuant to RCW 7.90.170 to remove any restrictions on firearm purchase, transfer, or possession.",NA
"2557","WA1029","Washington","Restrictive","Prohibited Possessor","Erpo : Expanded","Allows non-law enforcement officials to petition a court to remove firearms from a person who is known to be a risk to themselves or others","Implement","Handgun And/Or Long Gun",2017-02-06,"There shall exist an action known as a petition for an extreme risk protection order.

(1) A petition for an extreme risk protection order may be filed by (a) a family or household member of the respondent or (b) a law enforcement officer or agency.",NA
"2558","WA1030","Washington","Restrictive","Prohibited Possessor","Erpo : Ex Parte","Allows law enforcement officials to petition a court to remove firearms from a person before they have appeared in court","Implement","Handgun And/Or Long Gun",2017-02-06,"A petitioner may request that an ex parte extreme risk protection order be issued before a hearing for an extreme risk protection order, without notice to the respondent, by including in the petition detailed allegations based on personal knowledge that the respondent poses a significant danger of causing personal injury to self or others in the near future by having in his or her custody or control, purchasing, possessing, or receiving a firearm.",NA
"2559","WA1031","Washington",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring safety training for handguns",NA
"2560","WA1032","Washington",NA,"Prohibited Possessor","Erpo","Allows law enforcement officials to petition a court to remove firearms from a person who is known to be a risk to themselves or others",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting possession of firearms by individuals subject to ERPO","2017-02-06"
"2561","WA1033","Washington",NA,"Prohibited Possessor","Dvro","Prohibits individuals with a domestic violence restraining order from owning, possessing, or purchasing firearms",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals subject to DVRO from possessing firearms","1994-03-11"
"2562","WA1034","Washington","Restrictive","Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun","Implement","Handgun",1994-07-01,"(2) Unless an exception under RCW 9.41.042, 9.41.050, or 9.41.060 applies, a person at least eighteen years of age, but less than twenty-one years of age, may possess a pistol only: (a) In the person's place of abode; (b) At the person's fixed place of business; or (c) On real property under his or her control",NA
"2563","WA1035","Washington","Permissive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Modify","Handgun",1994-07-01,"No person may deliver a firearm to any person whom he or she has reasonable cause to believe is ineligible under RCW 9.41.040 to possess a firearm. Any person violating this section is guilty of a class C felony, punishable under chapter 9A.20 RCW.","2019-01-01"
"2564","WA1036","Washington","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Modify","Handgun",2019-01-01,"A person under twenty-one years of age may not purchase a pistol or semiautomatic assault rifle, and except as otherwise provided in this chapter, no person may sell or transfer a semiautomatic assault rifle to a person under twenty-one years of age.",NA
"2565","WA1038","Washington","Restrictive","Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun",2014-12-04,"9.41.110. A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the director of licensing and shall be personally signed by the purchaser and by the person effecting the sale, each in the presence of the other, and shall contain the date of sale, the caliber, make, model and manufacturer's number of the weapon, the name, address, occupation, and place of birth of the purchaser and a statement signed by the purchaser that he or she is not ineligible under RCW 9.41.040 to possess a firearm. (b) One copy shall within six hours be sent by certified mail to the chief of police of the municipality or the sheriff of the county of which the purchaser is a resident; the duplicate the dealer shall within seven days send to the director of licensing; the triplicate the dealer shall retain for six years. 9.41.113. Where neither party to a prospective firearms transaction is a licensed dealer, the parties to the transaction shall complete the sale or transfer through a licensed dealer.",NA
"2566","WA1039","Washington",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring safety training for long guns",NA
"2567","WA1040","Washington",NA,"Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun",NA,"Long Gun",NA,"No law imposing minimum age for youth possession of long guns","1994-07-01"
"2568","WA1041","Washington",NA,"Prohibited Possessor","Mental Health","Prohibits the possession of firearms for those with severe mental health challenges",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals with mental health issues from possessing firearms","1994-07-01"
"2569","WA1042","Washington","Restrictive","Safety Training Required","To Purchase : Semi-Automatic Rifles","Requires firearm safety training certificate for the purchase of a semi-automatic firearm","Implement","Long Gun",2019-07-01,"In addition to the other requirements of this chapter, no dealer may deliver a semiautomatic assault rifle to the purchaser thereof until:

(a) The purchaser provides proof that he or she has completed a recognized firearm safety training program within the last five years that, at a minimum, includes instruction on:

(i) Basic firearms safety rules;

(ii) Firearms and children, including secure gun storage and talking to children about gun safety;

(iii) Firearms and suicide prevention;

(iv) Secure gun storage to prevent unauthorized access and use;

(v) Safe handling of firearms; and

(vi) State and federal firearms laws, including prohibited firearms transfers.

The training must be sponsored by a federal, state, county, or municipal law enforcement agency, a college or university, a nationally recognized organization that customarily offers firearms training, or a firearms training school with instructors certified by a nationally recognized organization that customarily offers firearms training.",NA
"2570","WA1043","Washington","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Handgun",1994-02-28,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 

(A) after the most recent proposal of such transfer by the transferee— 

(i) the transferor has— 

(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 

(II) verified the identity of the transferee by examining the identification document presented; 

(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 

(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",NA
"2571","WA1044","Washington","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Long Gun",1998-11-30,"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—

(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;

(B) (i) the system provides the licensee with a unique identification number; or

(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and

(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",NA
"2572","WA1045","Washington",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Long Gun",NA,"No law restricting open carry for long guns",NA
"2573","WA1046","Washington",NA,"Firearm Sales Restrictions",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law imposing any firearm ban",NA
"2574","WA1047","Washington",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring permit for the purchase of a handgun",NA
"2575","WA1048","Washington",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring permit for the purchase of a long gun",NA
"2576","WA1049","Washington","Permissive","Castle Doctrine",NA,"Allows individuals to use deadly force in defense of themselves, others, and their homes without the duty to retreat","Implement","Handgun And/Or Long Gun",1900-01-01,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",NA
"2577","WA1050","Washington","Restrictive","Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days","Implement","Handgun",2014-12-04,"All firearm sales or transfers, in whole or part in this state including without limitation a sale or transfer where either the purchaser or seller or transferee or transferor is in Washington, shall be subject to background checks unless specifically exempted by state or federal law. The background check requirement applies to all sales or transfers including, but not limited to, sales and transfers through a licensed dealer, at gun shows, online, and between unlicensed persons.",NA
"2578","WA1051","Washington","Restrictive","Waiting Period","Semi-Automatic Rifles","Establishes the minimum amount of time licensed dealers must wait before delivering a semi-automatic rifle","Implement","Long Gun",2019-07-01," Except as otherwise provided in this chapter, a licensed dealer may not deliver a semiautomatic assault rifle to a purchaser or transferee until ten business days have elapsed from the date of the purchase application or, in the case of a transfer, ten business days have elapsed from the date a background check is initiated.",NA
"2579","WA1053","Washington","Restrictive","Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun","Implement","Long Gun",2014-12-04,"All firearm sales or transfers, in whole or part in this state including without limitation a sale or transfer where either the purchaser or seller or transferee or transferor is in Washington, shall be subject to background checks unless specifically exempted by state or federal law. The background check requirement applies to all sales or transfers including, but not limited to, sales and transfers through a licensed dealer, at gun shows, online, and between unlicensed persons.",NA
"2580","WA1054","Washington","Restrictive","Child Access Laws","Negligent Storage","Mandates safe storage of guns","Implement","Handgun And/Or Long Gun",2019-07-01,"(1) A person who stores or leaves a firearm in a location where the person knows, or reasonably should know, that a prohibited person may gain access to the firearm:

(a) Is guilty of community endangerment due to unsafe storage of a firearm in the first degree if a prohibited person obtains access and possession of the firearm and causes personal injury or death with the firearm; or

(b) Is guilty of community endangerment due to unsafe storage of a firearm in the second degree if a prohibited person obtains access and possession of the firearm and:

(i) Causes the firearm to discharge;

(ii) Carries, exhibits, or displays the firearm in a public place in a manner that either manifests an intent to intimidate another or that warrants alarm for the safety of other persons; or

(iii) Uses the firearm in the commission of a crime.",NA
"2581","WA1055","Washington","Restrictive","Firearm Removal At Scene Of Domestic Violence","Required","Requires police officers to seize a firearm at the scene of a domestic violence incident","Implement","Handgun And/Or Long Gun",2019-07-28,"A peace officer who responds to a domestic violence call and has probable cause to believe that a crime has been committed shall:

(i) Seize all firearms and ammunition the peace officer has reasonable grounds to believe were used or threatened to be used in the commission of the offense;

(ii) Seize all firearms in plain sight or discovered pursuant to a lawful search; and

(iii) Request consent to take temporary custody of any other firearms and ammunition to which the alleged abuser has access until a judicial officer has heard the matter.",NA
"2582","WA1056","Washington",NA,"Firearms In College/University",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning firearms on college or university campus",NA
"2583","WA1057","Washington",NA,"Local Laws Preempted By State",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"State law does not preempt local law","1983-07-24"
"2584","WA1058","Washington","Permissive","Local Laws Preempted By State","Comprehensive","Prohibits local laws for a specific class of laws","Implement","Handgun And/Or Long Gun",1983-07-24,"The state of Washington hereby fully occupies and preempts the entire field of firearms regulation within the boundaries of the state, including the registration, licensing, possession, purchase, sale, acquisition, transfer, discharge, and transportation of firearms, or any other element relating to firearms or parts thereof, including ammunition and reloader components. Cities, towns, and counties or other municipalities may enact only those laws and ordinances relating to firearms that are specifically authorized by state law, as in RCW 9.41.300, and are consistent with this chapter. Such local ordinances shall have the same penalty as provided for by state law. Local laws and ordinances that are inconsistent with, more restrictive than, or exceed the requirements of state law shall not be enacted and are preempted and repealed, regardless of the nature of the code, charter, or home rule status of such city, town, county, or municipality.",NA
"2585","WA1059","Washington",NA,"Prohibited Possessor","Convicted Of Crime : Removal","Requires police to remove firearms from individuals convicted of a firearm-prohibiting crime",NA,"Handgun And/Or Long Gun",NA,"No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime",NA
"2586","WA1060","Washington",NA,"Required Reporting Of Lost Or Stolen Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law requiring reporting of lost or stolen firearms",NA
"2587","WA1061","Washington","Restrictive","Untraceable Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun And/Or Long Gun",2019-07-01,"Rev. Code Wash. § 9.41.010:

(35) ""Untraceable firearm"" means any firearm manufactured after July 1, 2019, that is not an antique firearm and that cannot be traced by law enforcement by means of a serial number affixed to the firearm by a federally licensed manufacturer or importer.



2019 WA H.B. 1739:

Sec. 4. RCW 9.41.220 and 2018 c 7 s 4 are each amended to read as follows:

All machine guns, bump-fire stocks, undetectable firearms, short- barreled shotguns, or short-barreled rifles, or any part designed and intended solely and exclusively for use in a machine gun, short- barreled shotgun, or short-barreled rifle, or in converting a weapon into a machine gun, short-barreled shotgun, or short-barreled rifle, illegally held or illegally possessed are hereby declared to be contraband, and it shall be the duty of all peace officers, and/or any officer or member of the armed forces of the United States or the state of Washington, to seize said machine gun, bump-fire stock, undetectable firearm, short-barreled shotgun, or short-barreled rifle, or parts thereof, wherever and whenever found.",NA
"2588","WA1062","Washington","Restrictive","Untraceable Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun And/Or Long Gun",2019-07-01,"RCW 9.41.325

Undetectable or untraceable firearms—Penalties.

(1) No person may knowingly or recklessly allow, facilitate, aid, or abet the manufacture or assembly of an undetectable firearm or untraceable firearm by a person who: (a) Is ineligible under state or federal law to possess a firearm; or (b) has signed a valid voluntary waiver of firearm rights that has not been revoked under RCW 9.41.350. For purposes of this provision, the failure to conduct a background check as provided in RCW 9.41.113 shall be prima facie evidence of recklessness.

(2)(a) Any person violating this section is guilty of a gross misdemeanor punishable under chapter 9A.20 RCW.

(b) If a person previously has been found guilty under this section, then the person is guilty of a class C felony punishable under chapter 9A.20 RCW for each subsequent knowing violation of this section. A person is guilty of a separate offense for each and every firearm to which this section applies.",NA
"2589","WA1063","Washington","Restrictive","Untraceable Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun And/Or Long Gun",2019-07-01,"Section 9.41.190. Unlawful firearms – Exceptions.

(1) Except as otherwise provided in this section, it is unlawful for any person to:

(a) Manufacture, own, buy, sell, loan, furnish, transport, or have in possession or under control, any machine gun, bump-fire stock, undetectable firearm, short-barreled shotgun, or short-barreled rifle;

(b) Manufacture, own, buy, sell, loan, furnish, transport, or have in possession or under control, any part designed and intended solely and exclusively for use in a machine gun, bump-fire stock, undetectable firearm, short-barreled shotgun, or short-barreled rifle, or in converting a weapon into a machine gun, short-barreled shotgun, or short- barreled rifle;

(c) Assemble or repair any machine gun, bump-fire stock, undetectable firearm, short-barreled shotgun, or short- barreled rifle; or

(d) Manufacture an untraceable firearm with the intent to sell the untraceable firearm.",NA
"2590","WA1064","Washington","Restrictive","Prohibited Possessor","Prosecution Of Prohibited Possessor","Criminalizes attempted purchase of firearms by individuals prohibited by law from possessing a firearm","Implement","Handgun And/Or Long Gun",2020-06-11,"(1) Subject to the availability of amounts appropriated for this specific purpose, the Washington association of sheriffs and police chiefs shall establish a grant program for local law enforcement agencies to conduct criminal investigations regarding persons who illegally attempted to purchase or transfer a firearm within their jurisdiction.

(2) Each grant applicant must be required to submit reports to the Washington association of sheriffs and police chiefs that indicate the number of cases in which a person was denied a firearms sale or transfer, the number of cases where the denied sale or transfer was investigated for potential criminal prosecution, and the number of cases where an arrest was made, the case was referred for prosecution, and a conviction was obtained.",NA
"2591","WI1001","Wisconsin",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Handgun",NA,"No law requiring background checks for private sales of handguns",NA
"2592","WI1003","Wisconsin","Restrictive","Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun","Implement","Handgun",1991-12-01,"(2) When a firearms dealer sells a handgun, he or she may not transfer possession of that handgun to any other person until all of the following have occurred:

(a) The transferee has provided identification as required by rule under sub. (2g) (a).

(b) The transferee has completed the notification form described in sub. (2g) (b).

(c) The firearms dealer has conveyed the information from the completed notification form to the department of justice as required by rule under sub. (2g) (b) and requested a firearms restrictions record search.

(d) The firearms dealer has received an approval number regarding the firearms restrictions record search under sub. (2g) (c) from the department of justice.",NA
"2593","WI1004","Wisconsin",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Handgun",NA,"No law requiring background checks for sales from dealers of handguns","1991-12-01"
"2594","WI1006","Wisconsin","Restrictive","Carrying A Concealed Weapon (Ccw)","Prohibited","Prohibits individuals from carrying guns in a concealed manner","Implement","Handgun",1966-01-01,"Any person except a peace officer who goes armed with a concealed and dangerous weapon is guilty of a Class A misdemeanor. Notwithstanding s. 939.22 (22), for purposes of this section, peace officer does not include a commission warden who is not a state-certified commission warden.

","2011-07-23"
"2595","WI1007","Wisconsin","Permissive","Carrying A Concealed Weapon (Ccw)","Shall Issue","Requires permits for concealed carrying; removes Law Enforcement discretion in issuing permit; only objective criteria for issuing permits","Modify","Handgun",2011-07-23,"(2) Issuance and Scope of License.

(a) The department shall issue a license to carry a concealed weapon to any individual who is not disqualified under sub. (3) and who completes the application process specified in sub. (7). A license to carry a concealed weapon issued under this section shall meet the requirements specified in sub. (2m).

(b) The department may not impose conditions, limitations, or requirements that are not expressly provided for in this section on the issuance, scope, effect, or content of a license.",NA
